#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18754
#Date Time: 2019-04-23 16:58:36.115
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Wavegen 1 Condition: Rising
#Channel 1: Range: 500 mV/div Offset: -2.5 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 500 Hz
#Amplitude: 1 V
#Offset: 3 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.004155,1.97047
-0.00415375,1.97047
-0.0041525,1.9708
-0.00415125,1.97047
-0.00415,1.97047
-0.00414875,1.9708
-0.0041475,1.97147
-0.00414625,1.9708
-0.004145,1.9708
-0.00414375,1.9708
-0.0041425,1.9708
-0.00414125,1.9708
-0.00414,1.9708
-0.00413875,1.9708
-0.0041375,1.9708
-0.00413625,1.9708
-0.004135,1.9708
-0.00413375,1.97114
-0.0041325,1.9708
-0.00413125,1.97114
-0.00413,1.97147
-0.00412875,1.97114
-0.0041275,1.97114
-0.00412625,1.97114
-0.004125,1.9708
-0.00412375,1.9708
-0.0041225,1.9708
-0.00412125,1.97114
-0.00412,1.97114
-0.00411875,1.97114
-0.0041175,1.97147
-0.00411625,1.97147
-0.004115,1.97147
-0.00411375,1.97147
-0.0041125,1.97114
-0.00411125,1.97147
-0.00411,1.97147
-0.00410875,1.97147
-0.0041075,1.97114
-0.00410625,1.97147
-0.004105,1.97147
-0.00410375,1.97147
-0.0041025,1.97147
-0.00410125,1.97114
-0.0041,1.97114
-0.00409875,1.9708
-0.0040975,1.9708
-0.00409625,1.97147
-0.004095,1.97114
-0.00409375,1.97147
-0.0040925,1.97181
-0.00409125,1.97147
-0.00409,1.9708
-0.00408875,1.97114
-0.0040875,1.97114
-0.00408625,1.97114
-0.004085,1.97114
-0.00408375,1.97114
-0.0040825,1.97114
-0.00408125,1.97114
-0.00408,1.97147
-0.00407875,1.9708
-0.0040775,1.9708
-0.00407625,1.97114
-0.004075,1.97114
-0.00407375,1.97114
-0.0040725,1.97114
-0.00407125,1.97114
-0.00407,1.97147
-0.00406875,1.97147
-0.0040675,1.97114
-0.00406625,1.97114
-0.004065,1.97114
-0.00406375,1.97114
-0.0040625,1.9708
-0.00406125,1.9708
-0.00406,1.97047
-0.00405875,1.9708
-0.0040575,1.9708
-0.00405625,1.97114
-0.004055,1.97147
-0.00405375,1.97114
-0.0040525,1.9708
-0.00405125,1.9708
-0.00405,1.97114
-0.00404875,1.97147
-0.0040475,1.97114
-0.00404625,1.97147
-0.004045,1.9708
-0.00404375,1.9708
-0.0040425,1.97147
-0.00404125,1.97114
-0.00404,1.9708
-0.00403875,1.9708
-0.0040375,1.9708
-0.00403625,1.9708
-0.004035,1.97047
-0.00403375,1.9708
-0.0040325,1.97114
-0.00403125,1.9708
-0.00403,1.97114
-0.00402875,1.97114
-0.0040275,1.97114
-0.00402625,1.9708
-0.004025,1.9708
-0.00402375,1.9708
-0.0040225,1.9708
-0.00402125,1.9708
-0.00402,1.9708
-0.00401875,1.9708
-0.0040175,1.97047
-0.00401625,1.9708
-0.004015,1.97114
-0.00401375,1.97114
-0.0040125,1.9708
-0.00401125,1.9708
-0.00401,1.97047
-0.00400875,1.97047
