#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18754
#Date Time: 2019-04-23 16:56:17.970
#Sample rate: 7.69231e+06Hz
#Samples: 8192
#Trigger: Source: Wavegen 1 Condition: Rising
#Channel 1: Range: 100 mV/div Offset: -3 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 5 kHz
#Amplitude: 50 mV
#Offset: 3 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.00042731,2.91279
-0.00042718,2.91346
-0.00042705,2.91279
-0.00042692,2.91245
-0.00042679,2.9138
-0.00042666,2.9138
-0.00042653,2.9138
-0.0004264,2.91413
-0.00042627,2.91312
-0.00042614,2.91346
-0.00042601,2.91279
-0.00042588,2.91312
-0.00042575,2.91279
-0.00042562,2.91346
-0.00042549,2.91312
-0.00042536,2.91279
-0.00042523,2.91346
-0.0004251,2.91312
-0.00042497,2.91346
-0.00042484,2.91413
-0.00042471,2.91346
-0.00042458,2.9138
-0.00042445,2.9138
-0.00042432,2.91346
-0.00042419,2.9138
-0.00042406,2.9138
-0.00042393,2.91346
-0.0004238,2.91346
-0.00042367,2.91346
-0.00042354,2.91312
-0.00042341,2.91312
-0.00042328,2.91312
-0.00042315,2.91346
-0.00042302,2.91346
-0.00042289,2.91279
-0.00042276,2.91312
-0.00042263,2.91279
-0.0004225,2.91312
-0.00042237,2.91312
-0.00042224,2.91312
-0.00042211,2.91346
-0.00042198,2.91312
-0.00042185,2.91346
-0.00042172,2.9138
-0.00042159,2.91312
-0.00042146,2.9138
-0.00042133,2.91346
-0.0004212,2.91346
-0.00042107,2.91346
-0.00042094,2.9138
-0.00042081,2.91346
-0.00042068,2.91279
-0.00042055,2.91279
-0.00042042,2.91346
-0.00042029,2.91312
-0.00042016,2.91312
-0.00042003,2.91279
-0.0004199,2.91279
-0.00041977,2.91312
-0.00041964,2.91312
-0.00041951,2.91312
-0.00041938,2.91346
-0.00041925,2.91312
-0.00041912,2.91346
-0.00041899,2.91279
-0.00041886,2.91312
-0.00041873,2.91346
-0.0004186,2.91346
-0.00041847,2.91312
-0.00041834,2.91346
-0.00041821,2.9138
-0.00041808,2.91312
-0.00041795,2.91312
-0.00041782,2.91312
-0.00041769,2.91279
-0.00041756,2.91279
-0.00041743,2.91245
-0.0004173,2.91245
-0.00041717,2.91279
-0.00041704,2.91312
-0.00041691,2.91279
-0.00041678,2.91279
-0.00041665,2.91279
-0.00041652,2.91279
-0.00041639,2.91245
-0.00041626,2.91245
-0.00041613,2.91279
-0.000416,2.91312
-0.00041587,2.91245
-0.00041574,2.91211
-0.00041561,2.91312
-0.00041548,2.91279
-0.00041535,2.91245
-0.00041522,2.91312
-0.00041509,2.91279
-0.00041496,2.91245
-0.00041483,2.91279
-0.0004147,2.91245
-0.00041457,2.91245
-0.00041444,2.91312
-0.00041431,2.91279
